cluster,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m1.C9,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14
m1.C1,0,0.1600452828215817,0.3283695949008313,0.4655574716341021,0.3630454408776074,0.3123305608502348,0.404504717148501,0.9360838371227285,0.9265915012738973,0.06868113522028718,0.37907315910769246,0.35475805999999344,1.357004396725768,0.47201116821756894,0.031185049551514132,0.4950763663832699,0.36750369442606623,0.20013071322737586,0.9541784783577997,1.8339852292737886,1.463173154832934,1.3748114646436702,1.374681331499916,0.9772559157267571,1.4282620984667054,1.2688800785348002,0.8380445068670894,0.0075010587107113835,0.29027574534575773,0.1328209463957104,0.5763065091838976,0.45539431074138437,0.32753796261473245,1.2124793344532387,0.2586363009389946,0.6862262083738273,0.8931765695604115,1.2565155353407078,0.96992921520277,1.6408175401392882,1.3743221089160518
m1.C2,0.1600452828215817,0,0.21426825101742775,0.35496403470172155,0.614848725980557,0.46491412121990416,0.6282715135886346,0.8019582810619408,1.1814830971291568,0.07801638662151311,0.26010487611317845,0.41395422791577585,1.1826069484567037,0.419287770664592,0.07706143887128969,0.41498709615532525,0.5746344692178862,0.5329870881786198,1.0835470217223935,1.839517725778974,1.405170176021193,1.3772218604100184,1.627347339879174,1.3063213489621197,1.4829470478458124,1.5734292300196873,0.8542684612332672,0.1268889350652651,0.1988530665718743,0.20796288268468044,0.44872742797223797,0.5915091818786737,0.42925221523762747,1.0724968669628794,0.36176438662923904,0.8845676681954106,0.8460578526144243,1.2345489191460208,1.1609778841303304,1.501111156004369,1.2910518162486395
m1.C3,0.3283695949008313,0.21426825101742775,0,0.06750210783180932,0.3397813803084654,0.17982107531205793,0.46227402646399773,0.31845189899092485,0.8043814777736009,0.27921491292884515,0.05461023146420174,0.30447657747785084,0.8408436892334975,0.2432102041888048,0.20837478068840187,0.052227119475730444,0.25937746024508734,0.4389111296968743,0.6535731627924466,1.3876597967684003,0.9493652759557375,0.8695253019214935,1.1961950698722446,0.8671634588645418,1.002444868679917,1.397537953040132,0.3906629263553103,0.3175691902012181,0.6779293580341785,0.5766390052248095,0.06692558070535903,0.35511199149795025,0.16452199872439865,0.5662750929134736,0.2189744504159814,0.5868421995787456,0.4002325486133007,0.7458805403008923,0.8616882912873249,1.2595814560742289,0.829438173209524
m1.C4,0.4655574716341021,0.35496403470172155,0.06750210783180932,0,0.2590856942513252,0.17046387440583133,0.45522643018516196,0.21002330162401217,0.6522629347337455,0.46881721368082885,0.13938104076583147,0.4081976945938025,0.7227044332810095,0.3939198622872967,0.3485595949821395,0.0623837230857357,0.2860984326728885,0.5375942685141074,0.5903609452072187,1.2196499760599893,0.8365512236822572,0.718874184860517,1.0361798459963418,0.8505100071846189,0.8815655891860684,1.2970425656621885,0.24323894873936125,0.4773335045466741,0.8702249613199025,0.7389657756120318,0.09213842213291767,0.46760263228960397,0.2257461291003915,0.4400069020877664,0.2547310198281012,0.5183913613775218,0.2518012015686685,0.6237377181890266,0.7747970189798216,1.1089851075827168,0.6818727102761619
m1.C5,0.3630454408776074,0.614848725980557,0.3397813803084654,0.2590856942513252,0,0.19442990007970007,0.4060661172997394,0.5278661582553827,0.5290716307782699,0.5361415547168948,0.44048539513345264,0.5151219811368526,1.0800088588592618,0.6702631091115565,0.3702058692852179,0.2720003210003069,0.22434645196768777,0.22104462167817507,0.4967318822845458,1.219952138066227,0.9640947594381171,0.7801182104830039,0.8194386543106904,0.6013152770895632,0.9143148161400463,0.8491386397305001,0.42611548177099545,0.4124108383796222,0.967133583288332,0.7484253094277082,0.3874586810857187,0.5585882777337583,0.3125517365466859,0.7688663526216968,0.29860207109155934,0.5459078388969686,0.42322570382120084,0.8580445564834842,0.7432513447546424,1.359609566948984,0.9073991642534942
m1.C6,0.3123305608502348,0.46491412121990416,0.17982107531205793,0.17046387440583133,0.19442990007970007,0,0.1619665777945497,0.336820250163648,0.37127025520154777,0.40241505374991393,0.2289653241754993,0.25908350793433166,0.8131765115641111,0.35446737763965697,0.31606737507045435,0.1982382963171423,0.0562456079548419,0.2943094147440466,0.510391319585084,1.2452577563267064,0.9086553322295627,0.7522566372417875,0.8025331568876088,0.5006408585679596,0.8158022596253279,1.129719426022584,0.28138695169294603,0.3588287572873238,0.850379934760865,0.5542022016011642,0.23889305344608502,0.21633260702744395,0.07034344176981322,0.5633761295419026,0.12432087032951877,0.22955100877782653,0.3915465113275818,0.5900557320408881,0.492027515377201,1.171624325198648,0.7358532250253864
m1.C7,0.404504717148501,0.6282715135886346,0.46227402646399773,0.45522643018516196,0.4060661172997394,0.1619665777945497,0,0.5101116140145647,0.3354077433416375,0.5573365848227111,0.4161315964952851,0.24575655850244416,0.6752250887876845,0.4594500828696695,0.49067809177863553,0.5252966172076814,0.18759375404721013,0.33445049324672416,0.5105297931751964,1.1568089341512733,0.8200378995081098,0.7258791358944959,0.6448002860646871,0.5014494928938134,0.7567033893212463,1.006105329598545,0.4516929275546011,0.4825687674312975,0.8240012660124676,0.4985262421198198,0.5669727045957227,0.24642655533427804,0.21145813147200243,0.7187845742739161,0.2071951724053679,0.18991395366166208,0.517720383690875,0.6282226255491535,0.3392033915437974,0.9926448426754291,0.7394778862965923
m1.C8,0.9360838371227285,0.8019582810619408,0.31845189899092485,0.21002330162401217,0.5278661582553827,0.336820250163648,0.5101116140145647,0,0.36617978576377064,0.9353793086000446,0.31381003999822465,0.5358227665936921,0.267772073048148,0.47671327391622664,0.8441392373333158,0.24721274107760072,0.4282390338561559,0.7829598424229223,0.43132402604620634,0.6886082938139206,0.45882104879591745,0.3865759548058455,0.6838651231997385,0.6178258610349867,0.4934036775771875,0.9903104605320241,0.22846529250511816,0.9534379845622587,1.3258130586352976,1.1310028137858348,0.17248701204224026,0.5140274159168005,0.3837346723368572,0.08570662631069426,0.520544465646201,0.386899829577948,0.24712953198820176,0.2105997252914802,0.47829435731913816,0.5634881294255143,0.22925946149211351
m1.C9,0.9265915012738973,1.1814830971291568,0.8043814777736009,0.6522629347337455,0.5290716307782699,0.37127025520154777,0.3354077433416375,0.36617978576377064,0,1.1144583662900158,0.7790271252210362,0.6381083844189509,0.46426612577901105,0.7794634025907061,1.0372614065047316,0.7347767872594464,0.4135498676025755,0.657096405057755,0.47265858013867246,0.6441980514423586,0.6388212218877771,0.5326078585680247,0.3516174970746583,0.28838323577669955,0.4683424225080852,0.5672696979131717,0.451304579224983,1.0017589615962983,1.4229278692254792,1.0238635530239861,0.6907975752759744,0.5146627212028811,0.5061220033733191,0.3801021785983062,0.6088520170373808,0.14601186374497477,0.5794027535672855,0.26949801710137666,0.18005188980250186,0.556158580342661,0.35348100437583474
m2.C1,0.06868113522028718,0.07801638662151311,0.27921491292884515,0.46881721368082885,0.5361415547168948,0.40241505374991393,0.5573365848227111,0.9353793086000446,1.1144583662900158,0,0.3565811482229728,0.40394284714955186,1.378739278678829,0.45221498877720623,0.03929513164399634,0.46934515841829627,0.45690108182355416,0.34976065569739123,1.0629400730367082,1.8703841025240426,1.4922836622501214,1.4075248320134208,1.5135197629746961,1.1110407859499085,1.50778417369873,1.463780971193989,0.910532645988887,0.043338182519806256,0.190671404122838,0.15127412777098137,0.5266013657948552,0.5125115382502626,0.3817596674947089,1.2078888198589584,0.34253951589389253,0.8370502189974149,0.9527922412672897,1.3177571384856925,1.1188370135374064,1.664660485247626,1.4139204341298561
m2.C2,0.37907315910769246,0.26010487611317845,0.05461023146420174,0.13938104076583147,0.44048539513345264,0.2289653241754993,0.4161315964952851,0.31381003999822465,0.7790271252210362,0.3565811482229728,0,0.1718093050353804,0.660783302112222,0.14582528646160087,0.27344304856846424,0.1003271210759249,0.25569232135847053,0.5080290146162176,0.5356772443082419,1.315743069509288,0.774726859264079,0.9193272714368567,1.1589321647713318,0.8767592348766144,0.893340285684441,1.286912349279177,0.4372202173885621,0.3729229871233628,0.708969603045071,0.5329804831078759,0.08798319802036414,0.2612218945427828,0.13101205362511292,0.4937716107514889,0.184150790002944,0.48006575114809624,0.33276898379120423,0.6342142802178685,0.6925619350241838,1.0663921507747869,0.6935438209247818
m2.C3,0.35475805999999344,0.41395422791577585,0.30447657747785084,0.4081976945938025,0.5151219811368526,0.25908350793433166,0.24575655850244416,0.5358227665936921,0.6381083844189509,0.40394284714955186,0.1718093050353804,0,0.6983631528736113,0.1633772756770756,0.35284630765195146,0.3726030267327197,0.20317613857836403,0.5013550753462401,0.3766222913481925,1.315804662741232,0.7887291718648003,1.0683113784795846,1.0265332478086193,0.6453554246827712,0.8784776266696032,1.0234852612722813,0.6617360191676224,0.3830608292573918,0.6082634144675809,0.36994458207334335,0.38023744960520645,0.13548175854784117,0.0923079116598261,0.6867065410811382,0.09113060144381435,0.29681896043488376,0.4306436774377226,0.706623338518168,0.3998441713368476,0.9916314971876711,0.6839094342423309
m2.C4,1.357004396725768,1.1826069484567037,0.8408436892334975,0.7227044332810095,1.0800088588592618,0.8131765115641111,0.6752250887876845,0.267772073048148,0.46426612577901105,1.378739278678829,0.660783302112222,0.6983631528736113,0,0.6759194174481018,1.3239103730824233,0.7736209059755512,0.8348993738757904,1.2096004198838817,0.5252220780158745,0.40942996566206513,0.23668231439704912,0.4690371160744997,0.5675373677870535,0.7844485636651648,0.3724038222715208,0.7980155327824805,0.5417608096485214,1.381877813540538,1.4801224237954573,1.2690087987548833,0.6352789196982156,0.7054253696520306,0.7659065792475696,0.15773675350093852,0.8753831631749619,0.4564894977927968,0.440324236713752,0.1594619764701234,0.34620709104720004,0.11847731771372927,0.11355808118579458
m2.C5,0.47201116821756894,0.419287770664592,0.2432102041888048,0.3939198622872967,0.6702631091115565,0.35446737763965697,0.4594500828696695,0.47671327391622664,0.7794634025907061,0.45221498877720623,0.14582528646160087,0.1633772756770756,0.6759194174481018,0,0.4129793199802022,0.31885717178945916,0.34707022014398237,0.5959679239615867,0.6287773437890501,1.2512264537704267,0.8154870904911402,1.09014951631496,1.0971126352750953,0.6647346992061683,0.92179189182958,1.262224824427339,0.6172785357395634,0.46584748406373133,0.7260196600659221,0.5495480001660095,0.26631075973140883,0.10624952582163816,0.1867332310232126,0.5727923554021367,0.29181082996644214,0.44279933763463264,0.5012841261001845,0.627221270449428,0.6529470735536475,1.0011900853618991,0.7187244400635064
m3.C1,0.031185049551514132,0.07706143887128969,0.20837478068840187,0.3485595949821395,0.3702058692852179,0.31606737507045435,0.49067809177863553,0.8441392373333158,1.0372614065047316,0.03929513164399634,0.27344304856846424,0.35284630765195146,1.3239103730824233,0.4129793199802022,0,0.36187687153704684,0.3794830960463321,0.27720479324116354,0.9432580363044186,1.8290935110530322,1.411123652608699,1.3374923239299936,1.4607591065403196,1.0647750812549588,1.41998041250717,1.3948445846137791,0.7803777737563528,0.02210089198472054,0.27873498557866483,0.19032357062375604,0.4405685322655615,0.4732165101261465,0.3063811692003272,1.1327650155015407,0.24681965274761242,0.7667628527444521,0.7988276881223183,1.2413689796841347,1.0665516874539178,1.6476988275126867,1.3408849476679783
m3.C2,0.4950763663832699,0.41498709615532525,0.052227119475730444,0.0623837230857357,0.2720003210003069,0.1982382963171423,0.5252966172076814,0.24721274107760072,0.7347767872594464,0.46934515841829627,0.1003271210759249,0.3726030267327197,0.7736209059755512,0.31885717178945916,0.36187687153704684,0,0.22293638984203035,0.5046458009273134,0.4932852302241729,1.1490274170011534,0.7247297871373328,0.7139016212687151,0.9884429118004355,0.7611352430381424,0.7880713197820319,1.2536963752388326,0.29754430927340325,0.49521340611242803,0.92984505987801,0.8039939755473755,0.03341898384907793,0.3866797781527994,0.18289160270848825,0.44339728762711617,0.26300544816365956,0.5686179713940893,0.2431152727068946,0.6205136006613272,0.8020976578002795,1.167908403045856,0.6949312608395535
m3.C3,0.36750369442606623,0.5746344692178862,0.25937746024508734,0.2860984326728885,0.22434645196768777,0.0562456079548419,0.18759375404721013,0.4282390338561559,0.4135498676025755,0.45690108182355416,0.25569232135847053,0.20317613857836403,0.8348993738757904,0.34707022014398237,0.3794830960463321,0.22293638984203035,0,0.32368520752318486,0.38021172076123255,1.1582780124149579,0.7490334546972961,0.792682489950882,0.6830270031880876,0.43058587251432534,0.7111468620489441,1.0189510445952206,0.3831078199841843,0.4186475156150081,0.8951187309814852,0.584363120608488,0.28737691519014197,0.15628929262222113,0.05497313906880141,0.6078864328150734,0.12111588231759407,0.23172396845625287,0.35162294480486245,0.6086147272831307,0.43662554051166735,1.169402887417413,0.7358621132651688
m3.C4,0.20013071322737586,0.5329870881786198,0.4389111296968743,0.5375942685141074,0.22104462167817507,0.2943094147440466,0.33445049324672416,0.7829598424229223,0.657096405057755,0.34976065569739123,0.5080290146162176,0.5013550753462401,1.2096004198838817,0.5959679239615867,0.27720479324116354,0.5046458009273134,0.32368520752318486,0,0.758878069659475,1.4346662771939989,1.2180942890216435,0.9523036715069279,0.9681096567983802,0.6471861194714876,1.1528521263696963,0.8990420083382535,0.6688148213451586,0.22834999076238205,0.7485112794536235,0.5013317327467179,0.5638327752830629,0.4958850568075529,0.38917093376313483,1.0237116249244511,0.4111440449790058,0.6238063381656536,0.8265731345953887,1.0390064975076545,0.8253397483471844,1.4943274921648186,1.1670575439358557
m3.C5,0.9541784783577997,1.0835470217223935,0.6535731627924466,0.5903609452072187,0.4967318822845458,0.510391319585084,0.5105297931751964,0.43132402604620634,0.47265858013867246,1.0629400730367082,0.5356772443082419,0.3766222913481925,0.5252220780158745,0.6287773437890501,0.9432580363044186,0.4932852302241729,0.38021172076123255,0.758878069659475,0,0.61786264137472,0.34795597639046594,0.5138577562345368,0.572778014090519,0.39048297941630306,0.35414910084719964,0.5147799538302649,0.5660055791895533,1.0101958347809403,1.2822524449279378,1.090105860058136,0.5236841624991719,0.5071749700086545,0.3783500332555204,0.4750456766191353,0.3922537531500184,0.41383572755259945,0.26649003867650445,0.4676720291593016,0.2771657702596625,0.6492775920341127,0.304508350189841
m3.C6,1.8339852292737886,1.839517725778974,1.3876597967684003,1.2196499760599893,1.219952138066227,1.2452577563267064,1.1568089341512733,0.6886082938139206,0.6441980514423586,1.8703841025240426,1.315743069509288,1.315804662741232,0.40942996566206513,1.2512264537704267,1.8290935110530322,1.1490274170011534,1.1582780124149579,1.4346662771939989,0.61786264137472,0,0.2355294205057713,0.301938303178786,0.26007886515961787,0.5934154219944705,0.22528709777265188,0.5569845441389676,0.7625516763196393,1.8683141887319752,1.9131649423644963,1.865024815258466,1.087309631350693,1.1460007056465802,1.2518334713672605,0.4693703627288781,1.380133412907403,0.8818405560214126,0.7161316976191012,0.3848711531027327,0.6494987629462771,0.2819616404820209,0.33370793955187583
